"province","prize_special","prize_one","prize_two","prize_three","prize_four","prize_five","prize_six","prize_seven","prize_eight","date"
"Long An","355972","49022","99978","85216 - 99687","41738 - 85295 - 27391 - 44469 - 16935 - 87629 - 46869","3899","8283 - 0516 - 0532","532","58","26/10/2024"
"Quảng Bình","119997","36579","54882","20322 - 41816","68325 - 28914 - 67151 - 11935 - 24543 - 34676 - 43741","3558","5024 - 8773 - 4562","248","98","24/10/2024"
"Ninh Thuận","351305","56114","81018","34534 - 67342","93315 - 32803 - 08229 - 70852 - 46830 - 82633 - 73754","0685","5240 - 2782 - 7976","461","60","25/10/2024"
"Gia Lai","588840","88907","30566","88758 - 01198","45774 - 53895 - 96454 - 98353 - 59994 - 04740 - 05224","0673","5110 - 3371 - 4113","445","07","25/10/2024"
"Bình Định","122309","08189","81029","25382 - 66569","71478 - 73511 - 48066 - 07076 - 57049 - 93897 - 92399","2399","6989 - 2661 - 2033","060","11","24/10/2024"
"Đà Lạt","607572","68679","75266","82988 - 12828","44789 - 48673 - 61591 - 88441 - 05917 - 06900 - 82342","0674","9330 - 4036 - 4566","132","60","27/10/2024"
"Phú Yên","304199","50434","21686","23735 - 42882","21281 - 60163 - 82642 - 38551 - 98984 - 42425 - 54304","5976","2885 - 4733 - 6515","281","33","28/10/2024"
"TP. HCM","967809","51115","29628","41200 - 59757","12461 - 77205 - 28486 - 77492 - 75240 - 15186 - 77656","8323","7397 - 0483 - 6910","037","94","28/10/2024"
"Cà Mau","036911","23139","27582","26008 - 89655","26442 - 60680 - 42769 - 15490 - 70141 - 22588 - 99941","0002","3932 - 4565 - 2718","604","39","28/10/2024"
"Thừa Thiên Huế","685419","32958","34961","60159 - 25073","53962 - 95449 - 93361 - 49171 - 12435 - 54740 - 59178","8368","3858 - 5784 - 8741","951","70","28/10/2024"
"Vũng Tàu","819041","02249","80819","62036 - 10477","25123 - 56838 - 96883 - 38746 - 70077 - 54054 - 32236","1487","0253 - 9305 - 2643","472","67","22/10/2024"
"Cần Thơ","695165","33056","57615","82842 - 19971","34760 - 65943 - 13776 - 59035 - 70143 - 58021 - 47951","6481","6173 - 5798 - 1318","547","78","23/10/2024"
"Đắk Lắk","597890","43201","53443","45062 - 93234","13811 - 34697 - 95892 - 58955 - 25849 - 35874 - 67295","5437","6191 - 2878 - 0059","711","27","22/10/2024"
"Quảng Trị","899897","36181","41794","41157 - 81188","31666 - 07842 - 01659 - 68191 - 11370 - 74151 - 65338","6072","6914 - 6495 - 1071","560","11","24/10/2024"
"Tây Ninh","318056","67241","05390","04855 - 13395","03334 - 08203 - 07469 - 98909 - 63373 - 72912 - 19932","7486","6812 - 2037 - 9985","421","09","24/10/2024"
"Kiên Giang","417287","51170","57906","54048 - 90480","64576 - 90766 - 66620 - 98632 - 13038 - 32607 - 06806","2725","1685 - 5043 - 8371","907","42","27/10/2024"
"Bến Tre","611978","47431","08337","80263 - 88969","79016 - 54239 - 08719 - 24605 - 76756 - 38991 - 55912","5426","5715 - 8365 - 9662","475","39","22/10/2024"
"Hậu Giang","363290","95330","06394","49783 - 47730","41402 - 77451 - 11332 - 02207 - 68625 - 74082 - 13726","2703","1103 - 9587 - 0362","903","52","26/10/2024"
"Đồng Nai","471308","53799","04956","53143 - 65455","43087 - 67261 - 16289 - 71154 - 12192 - 10223 - 93445","1015","6117 - 2843 - 2355","053","65","23/10/2024"
"Bình Thuận","299820","74867","33024","00241 - 49783","11544 - 21117 - 21492 - 99345 - 32870 - 08437 - 48488","4191","7540 - 7344 - 2449","933","43","24/10/2024"
"Quảng Nam","146601","46536","79712","50432 - 57304","33735 - 74291 - 62713 - 55190 - 89368 - 37669 - 94809","8134","6725 - 9916 - 1111","062","65","22/10/2024"
"Trà Vinh","169833","20884","99807","98716 - 01274","39978 - 08437 - 14609 - 47865 - 48584 - 89394 - 13573","0472","7338 - 0491 - 4344","535","51","25/10/2024"
"Quảng Ngãi","037476","47418","24288","87779 - 25986","55037 - 06085 - 31103 - 31825 - 87299 - 59616 - 85995","4286","3934 - 5056 - 7360","888","89","26/10/2024"
"Miền Bắc","90427","85521","57519 - 23785","21573 - 21340 - 39988 - 11812 - 35964 - 07336","4118 - 0925 - 6005 - 2548","9310 - 2427 - 2052 - 9677 - 9346 - 1451","260 - 200 - 639","27 - 96 - 41 - 84",,"28/10/2024"
